incident_unique_id,eyear,state,incidentnum,incidentname,emonth,eday,edoy,syear,smonth,sday,sdoy,area_km2,costs,fatalities,home.destroyed,home.threat,home.damage,comm.destroyed,comm.threat,comm.damage,max.pers,max.aerial,tot.pers,tot.aerial,max.agency.support,cause,confidence,geometry
"AK-GAD-000311|2013|1",2013,,AK-GAD-000311,Archimedes,7,27,192,2013,6,20,171,6.07029,0,0,0,0,0,0,0,0,0,0,0,0,0,Lightning,H,-3202904.27639215|4440650.11184397
"AK-GAD-000313|2013|1",2013,,AK-GAD-000313,Kavachurak,6,27,178,2013,6,20,171,3.67454888,0,0,0,0,0,0,0,0,0,0,0,0,0,Lightning,H,-3072092.63073491|4207382.99948057
"AK-GAD-000318|2013|1",2013,,AK-GAD-000318,Awuna River 1,7,27,192,2013,6,20,171,6.07029,0,0,0,0,0,0,0,0,0,0,0,0,0,Lightning,H,-2976509.62056175|4264872.55465125
"AK-GAD-000363|2013|1",2013,,AK-GAD-000363,South Fork,7,27,192,2013,6,23,174,18.21087,0,0,0,0,0,0,0,0,0,0,0,0,0,Lightning,H,-3312527.94339128|4137488.81731806
"AK-GAD-000389|2013|1",2013,,AK-GAD-000389,Nayuka River,7,27,206,2013,6,25,176,4.1277972,0,0,0,0,0,0,0,0,0,0,0,0,0,Lightning,H,-3104252.31844649|4001894.65264174
"AK-GAD-000432|2013|1",2013,,AK-GAD-000432,Four Mile Creek,7,29,192,2013,6,26,177,2.832802,0,0,0,0,0,0,0,0,0,0,0,0,0,Lightning,H,-3282180.31170565|3881312.51733956
"AK-GAD-000439|2013|1",2013,,AK-GAD-000439,Branch Creek,7,5,186,2013,6,27,178,1.189372154,0,0,0,0,0,0,0,0,0,0,0,0,0,Lightning,H,-3268604.54145012|3962994.97880106
"AK-GAD-000451|2013|1",2013,,AK-GAD-000451,Hammer Creek,7,29,192,2013,6,27,178,17.603841,0,0,0,0,0,0,0,0,0,0,0,0,0,Lightning,H,-3352805.50488989|3914941.75971033
"AK-GAD-000464|2013|1",2013,,AK-GAD-000464,Innoko 1,7,29,192,2013,6,28,179,6.240662806,0,0,0,0,0,0,0,0,0,0,0,0,0,Lightning,H,-3338497.51613165|3901201.42268811
"AK-GAD-000540|2013|1",2013,,AK-GAD-000540,Main Creek,8,28,240,2013,7,13,194,5.130609108,0,0,0,0,0,0,0,0,0,0,0,0,0,Lightning,H,-3195835.02507028|3930752.50352047
